Answer ID,Time_interface,Control,Likes,Reposts,Comments,Effectivness,Comfort,Age,Sex,Education,Completion_time,Type
answer-crg6nhj2lvtwuczj,55829,3-4,5,5,1,7,7,49,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",232035,Contextual
answer-crg6nhj2lvtwueb5,29657,3-4,1,1,1,4,2,30,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",118277,Contextual
answer-crg6nhj2lvtwufyp,23410,3-4,1,1,1,7,7,23,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",118972,Contextual
answer-2l2u2lvtwuhyh,55766,3-4,2,2,4,6,6,46,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",217212,Contextual
answer-crg6nhj2lvtwuk6e,21200,2-3,3,1,1,4,6,25,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",82014,Contextual
answer-crg6nhj2lvtwuljb,4507,3-4,3,2,1,7,6,26,Мужчина,"Высшее образование (магистратура, ординатура)",70265,Contextual
answer-2l2u2lvtwunjz,9821,3-4,1,1,1,5,3,21,Мужчина,Основное общее или среднее общее (школьное) образование,67115,Contextual
answer-crg6nhj2lvtwuw73,139853,3-4,6,6,6,7,7,19,Женщина,Нет завершенного образования,259348,Contextual
answer-2l2u2lvtwv8fl,49277,3-4,2,1,4,5,5,40,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",127539,Contextual
answer-2l2u2lvtwv9jz,9113,2-3,1,1,1,7,7,41,Предпочитаю не говорить,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",112568,Contextual
answer-crg6nhj2lvtwvcz8,120531,3-4,1,1,2,4,6,30,Мужчина,Ученая степень кандидата / доктора наук,344057,Contextual
answer-2l2u2lvtwvdig,26066,3-4,5,4,2,2,4,44,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",172413,Contextual
answer-crg6nhj2lvtwvi39,26895,2-3,7,1,1,4,4,33,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",191667,Contextual
answer-2l2u2lvtwvtvq,104162,3-4,1,1,1,1,1,42,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",206344,Contextual
answer-2l2u2lvtwvxrw,42524,3-4,7,7,5,1,4,43,Женщина,"Высшее образование (магистратура, ординатура)",134396,Contextual
answer-2l2u2lvtww0g3,43423,2-3,1,1,1,5,6,45,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",118392,Contextual
answer-2l2u2lvtww8ws,46600,3-4,1,1,4,4,7,40,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",175896,Contextual
answer-crg6nhj2lvtww9m2,22251,3-4,5,2,6,5,5,29,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",221219,Contextual
answer-2l2u2lvtwwlaa,42361,3-4,7,7,4,7,7,47,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",144568,Contextual
answer-crg6nhj2lvtwwo49,22484,3-4,5,6,6,6,2,44,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",114240,Contextual
answer-crg6nhj2lvtwwqlg,20627,3-4,1,1,1,5,5,25,Мужчина,Основное общее или среднее общее (школьное) образование,65360,Contextual
answer-2l2u2lvtwwx4w,107341,3-4,6,6,4,6,6,37,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",301934,Contextual
answer-crg6nhj2lvtwx203,31013,3-4,1,1,4,7,7,45,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",141659,Contextual
answer-crg6nhj2lvtwx401,20427,3-4,1,1,1,5,7,23,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",77987,Contextual
answer-2l2u2lvtwxe8c,10884,3-4,1,1,5,7,4,36,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",153672,Contextual
answer-2l2u2lvtwxu1f,6821,3-4,1,1,3,6,6,48,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",75846,Contextual
answer-crg6nhj2lvtwxx44,71847,3-4,4,3,1,2,7,33,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",166482,Contextual
answer-2l2u2lvtwyhtr,14765,3-4,1,1,1,1,1,36,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",125435,Contextual
answer-crg6nhj2lvtx5chc,19752,3-4,1,1,1,6,6,43,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",79072,Debunking
answer-crg6nhj2lvtx5err,43061,3-4,1,1,5,7,7,37,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",154908,Debunking
answer-2l2u2lvtx5kl7,22266,3-4,1,1,2,6,7,29,Мужчина,Основное общее или среднее общее (школьное) образование,-31307,Debunking
answer-crg6nhj2lvtx5kmg,29275,3-4,1,1,1,7,7,40,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",-28982,Debunking
answer-2l2u2lvtx5l5r,53428,3-4,1,1,1,3,3,36,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",186240,Debunking
answer-crg6nhj2lvtx5ld1,71105,2-3,4,1,1,3,1,48,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",190554,Debunking
answer-2l2u2lvtx5mgi,62437,3-4,1,1,1,7,7,36,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",220443,Debunking
answer-2l2u2lvtx5vde,41863,3-4,1,1,1,7,7,44,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",129417,Debunking
answer-2l2u2lvtx5xbp,38332,3-4,1,1,1,7,7,46,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",196526,Debunking
answer-2l2u2lvtx61ri,51054,3-4,3,2,7,6,3,46,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",211021,Debunking
answer-crg6nhj2lvtx621r,122681,3-4,1,1,4,7,7,45,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",347995,Debunking
answer-2l2u2lvtx6c0z,18694,3-4,1,1,1,6,7,30,Мужчина,Основное общее или среднее общее (школьное) образование,76208,Debunking
answer-2l2u2lvtx6ekb,27755,3-4,4,1,3,5,1,32,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",91163,Debunking
answer-crg6nhj2lvtx6gdb,120243,3-4,1,1,2,6,4,33,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",223600,Debunking
answer-2l2u2lvtx6n9j,15055,3-4,2,2,2,4,2,27,Мужчина,Основное общее или среднее общее (школьное) образование,69863,Debunking
answer-crg6nhj2lvtx6png,39389,3-4,5,4,6,5,6,33,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",184806,Debunking
answer-crg6nhj2lvtx6td7,28547,3-4,1,1,1,7,7,25,Мужчина,Основное общее или среднее общее (школьное) образование,219539,Debunking
answer-2l2u2lvtx6ztt,44884,3-4,6,6,1,4,1,35,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",172973,Debunking
answer-2l2u2lvtx71kk,108536,3-4,3,3,1,5,6,41,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",268708,Debunking
answer-crg6nhj2lvtx7mgc,23712,3-4,4,3,3,4,5,24,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",102887,Debunking
answer-2l2u2lvtx7tvi,27971,3-4,1,1,1,7,7,30,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",146314,Debunking
answer-crg6nhj2lvtx7uj0,13611,3-4,1,1,1,7,7,39,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",110909,Debunking
answer-2l2u2lvtx80wo,19846,3-4,2,1,1,5,4,35,Женщина,"Высшее образование (магистратура, ординатура)",89899,Debunking
answer-crg6nhj2lvtx82c2,58564,3-4,1,1,1,4,1,48,Мужчина,"Высшее образование (магистратура, ординатура)",217241,Debunking
answer-crg6nhj2lvtx8co9,9676,3-4,1,1,1,7,7,35,Мужчина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",62531,Debunking
answer-2l2u2lvtx8hjg,31880,3-4,1,1,1,5,4,25,Женщина,"Среднее профессиональное образование (техникум, колледж, училище и т.п.)",111174,Debunking
answer-crg6nhj2lvtx8nzw,30265,3-4,7,4,1,4,4,30,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",139905,Debunking
answer-2l2u2lvtx90z3,20187,3-4,7,3,1,5,7,37,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",78125,Debunking
answer-crg6nhj2lvtx91re,22658,3-4,1,1,1,5,7,21,Мужчина,Основное общее или среднее общее (школьное) образование,118322,Debunking
answer-crg6nhj2lvtx9d06,17669,3-4,2,1,1,4,4,22,Мужчина,Основное общее или среднее общее (школьное) образование,82103,Debunking
answer-2l2u2lvtx9zab,36376,3-4,1,1,3,4,2,40,Женщина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",104090,Debunking
answer-2l2u2lvtxaplf,65069,3-4,1,1,2,7,4,34,Мужчина,"Высшее образование (магистратура, ординатура)",235837,Debunking
answer-2l2u2lvtxaugl,17476,1-2,1,1,1,7,7,27,Мужчина,"Высшее образование (бакалавриат, специалитет в университете, академии, институте и т.п.)",79129,Debunking
