ID,Pathway ID,Preference,Reasoning_Preference,Control,Experience,Age,Sex,Necessity ,Reasoning_Necessity,Time
14,answer-gbej2lvijdzmz,Тип №4,"Имхо лучше объединить 3 и 4 варианты:
1. Хорошо, если вначале будет часть текста самого поста, чтобы читатель смог узнать о чем речь и составить собственное мнение. А то просто плашка предупреждения с восклицательным знаком выглядит как ""Ай-яй-яй, это тебе нельзя, ты неправильно поймешь""))
2. Следом сама фраза о недостоверности с ""!"" (без ""подробнее"")
3. Текст пояснения с тремя подпунктами про предупреждение, пояснение по теме и обратная связь. Это намного удобней текста длинной ""простыней"".
Успехов вам!",4,Да,40,Женщина,Да,"Люди должны получать достоверную информацию, а не посты вида ""моей левой пятке померещилось"".",736748
15,answer-4wtf2lvijdzow,Тип №4,наиболее полный и понятный ответ который дает понять почему пост закрыт и есть сноска про обратную связь,4,Нет,21,Женщина,Да,"неполная или недостоверная информация может вносить непонимание, споры и слухи.В некоторых случаях это опасно для здоровья или жизни",304753
16,answer-4wtf2lvije1yp,Тип №4,Лучше обзор,3,Да,31,Мужчина,Да,Предупреждение нужно,77512
17,answer-4wtf2lvije2a0,Тип №2,"Кратко и ёмко,более того ничто не занимает место",3,Нет,23,Мужчина,Да,Во избежание прецедентов,73764
18,answer-gbej2lvije7xs,Тип №2,он более лаконичный,3,Нет,34,Женщина,Да,"нужно предупреждать, для безопасности пользователей",66138
19,answer-gbej2lvijec8e,Тип №1,Понятная информация,2,Нет,32,Мужчина,Да,Потому что важно предостерегать,38539
20,answer-gbej2lvijefwh,Тип №1,"мне понравилась понятная мне формулировка,наличие предупреждающего блока тоже очень уместно",2,Нет,36,Женщина,Да,я считаю это важно и нужно,298832
21,answer-4wtf2lvijejc3,Тип №1,"он максимально отражает мое представление о данном типе предупреждений. Но! Скрывать сообщение не нужно, это вызовет желание обязательно посмотреть. В других вариантах информации либо мало, либо много. Нужно оставить предупреждение как здесь, с возможность обратной связи (кнопка, как в одном из вариантов) и обязательно ссылка (три вкладки) на подробное описание причины появления такого предупреждения",4,Нет,45,Женщина,Да,слишком много информации в сети и неподготовленный человек (в данной теме или подросток) может поверить такому источнику без поиска подтверждения в других,472420
22,answer-gbej2lvijejhh,Тип №4,Наиболее подробно представлены факты истинные и в чем недостоверность информации,4,Нет,23,Мужчина,Да,"Чтобы люди не велись на недостоверную информацию, нарушающую закон",71571
23,answer-gbej2lvijejoq,Тип №1,"более конкретно описано как обнаружилось, что может содержаться недостоверная информация. еще есть возможность все равно посмотреть сайт.",4,Нет,42,Мужчина,Да,что бы быть аккуратнее с информацией,418464
24,answer-gbej2lvijenet,Тип №4,более информативно,4,Нет,34,Мужчина,Да,проявлять осторожность,61944
25,answer-gbej2lvijenys,Тип №4,"Этот вариант более подходящий как по мне,в нем есть несколько вариантов о пояснениях *подозрения*,и + есть вкладка обратной связи :)",3,Да,29,Мужчина,Да,Потому что важно следить за информацией.,239915
26,answer-gbej2lvijerjl,Тип №4,Ответы краткие и понятные.,4,Нет,47,Женщина,Да,Чтобы люди были более внимательны.,148666
27,answer-gbej2lvijerxp,Тип №1,"В принципе, вам следовало бы добавляь предупреждение как в твиттер, со ссылкой на опровержение. Но если вы не хотите таким заниматься, то максимально подробное описание в плашке с недостоверной информацией выглядит внушающе. Короткую плашку могут не воспринимать всерьез. Больше текста - больше доверия к платформе.",4,Да,25,Мужчина,Да,Правда всему голова,193441
28,answer-4wtf2lvijesir,Тип №4,"сразу видно, но не мешает прочтению",5,Нет,31,Женщина,Нет,"против цензуры, даже в таком варианте. я сама решаю, что мне нужно читать, а что нет",75774
29,answer-4wtf2lvijewk6,Тип №1,"потому что крупно и сразу бросается в глаза, что информация сомнительная. когда читаешь контент, то не хочется тратить время на подобных ""авторов"" ",4,Да,37,Женщина,Да,чтобы не тратить время на чтение ереси,122089
30,answer-4wtf2lvijexic,Тип №4,потому что хорошо видно предупреждение и есть пояснение по нему,2,Нет,28,Мужчина,Да,это поможет оградится от фейков,108703
31,answer-gbej2lvijexx3,Тип №2,"оптимальным вариантом, считаю, если пояснения, которые приведены в остальных вариантах были как всплывающее окно при наведении на значок i в предупреждении. прописывать ее сразу под предупреждением излишне",4,Нет,28,Женщина,Нет,"потому что такие предупреждения могут использоваться как односторонняя пропаганда, например, посты содержащие призывы к миру, могут отмечаться, как предупреждающий с отметкой о дискриминации армии ",320219
32,answer-gbej2lvijeyr4,Тип №2,"Есть преамбула, но весь пост с информацией и не нужен",4,Нет,40,Женщина,Other,"Достоверность должна быть на чем-то основана, здесь не понятны критерии оценки достоверности",134102
33,answer-4wtf2lvijez2q,Тип №4,"Понятно Всё, как по полочкам разложили. Понравилось, что если это ошибка можно отправить жалобу",4,Нет,39,Женщина,Да,Чтобы не ошибиться,497922
34,answer-gbej2lvijf2jm,Тип №3,Более удобный отчет,2,Нет,20,Мужчина,Да,потому что это полезная и нужная информация,459985
35,answer-gbej2lvijf5gh,Тип №2,есть часть текста и предупреждение. коротко и со смыслом,4,Нет,47,Мужчина,Да,не всегда сразу понятно где истина,533475
36,answer-4wtf2lvijf6sx,Тип №1,этот вариант самый наглядный,3,Нет,33,Женщина,Да,"нужно, чтобы человек, увидевший недостоверную информацию, был предупрежден об этом",114615
37,answer-4wtf2lvijfayl,Тип №3,"Самый лаконичный вариант без лишней информации про алгоритмы и тп. Будь он под спойлером, было бы вообще идеально",4,Нет,31,Мужчина,Да,От этого напрямую зависит здоровье граждан,614663
38,answer-gbej2lvijfbio,Тип №2,все компактно,3,Нет,31,Женщина,Да,они раздражают,46554
39,answer-gbej2lvijfc90,Тип №4,"В сообщении указано, о чем именно может быть предоставлена недостоверная информация",4,Нет,34,Женщина,Да,"Да, потому что людям важно знать, является ли пост или сообщение достоверным источником информации",113282
40,answer-4wtf2lvijfe0x,Тип №3,"я считаю, что прежде чем что то запрещать, нужно обоснавать, в этом скриншоте все обосновано",5,Нет,36,Женщина,Да,"чтобы люди были в курсе, поэтому нужно предупреждать",153231
41,answer-gbej2lvijfgmz,Тип №2,"Есть сам пост который человек выложил и есть предупреждение,нету ничего лишнего,лишнее порой мешает,а в данном варианте все кратко и по делу.",5,Нет,25,Мужчина,Нет,"*Нет* потому что вся информация имеет место быть,ограничивая одну информацию ограничиваешь все невыгодную и образуется пропаганда,поэтому нужно не ограничивать информацию,а обьяснять почему она не верна и приводить факты,а не удалять ее или весить ярлык что она не достоверна.",480243
42,answer-4wtf2lvijfgoc,Тип №1,"визуально выглядит лучше,кому будет интересно откроет вкладку подробнее",4,Нет,30,Женщина,Да,слишком много информации в интернете. и сложно различить где обман,155549
43,answer-gbej2lvijfh2f,Тип №2,более менее подробная информация,4,Нет,40,Мужчина,Да,что бы люди знали правду,416563
44,answer-4wtf2lvijfofe,Тип №3,Это пост выглядит более реалистичней чем другие,2,Нет,47,Мужчина,Да,Стоит отмечать такие посты,435001
45,answer-4wtf2lvijfrws,Тип №3,"Оптимальное количество информации. Совсем не показывать пост неправильно, пользователь сам сумеет решить, читать ему или не читать, верить или не верить. Навешивать на пост 3 дополнительных вкладки с объяснениями - перебор.",4,Да,49,Женщина,Да,Надо искоренять мракобесие. Предупреждение даёт возможность вести дискуссию более осмысленно.,336630
46,answer-4wtf2lvijfwt0,Тип №3,видно комментарий человека и снизу написано что именно не так и что может быть инфа недостоверной,4,Да,35,Женщина,Да,"в соцсетях много детей,подростков,беременных и впечатлительных людей,которые верят всему и очень доверчивые,они могут сильно пострадать от недостоверной инфы и это может иметь печальные последствия",93895
47,answer-gbej2lvijfynd,Тип №3,"я хочу видеть оригинальный пост в любом случае, вообще маркировка и уж тем более цензура таких постов глупая идея т.к. высказывается личное мнение",4,Нет,30,Мужчина,Нет,высказывается личное мнение которое ни к коем случае нельзя подвергать цензуре или вешать ярлыки,429630
48,answer-4wtf2lvijggxp,Тип №2,"Предупреждение хорошо заметно, нет лишнего текста",4,Нет,30,Женщина,Да,Надо ограждать людей от фейков и недостоверной информации,115120
49,answer-gbej2lvijghck,Тип №1,"этот  вариант содержит именно недостоверную информацию, о чем имеется предупреждение, которое можно проверить, а содержание текста дает понять, что информация непроверена",4,Да,28,Мужчина,Да,"информацию проверять необходимо, это нужно для безопасности пользователей, не нужно вводить их в заблуждение",387612
50,answer-gbej2lvijgka0,Тип №2,Чем короче тем лучше предупреждение,4,Нет,45,Мужчина,Нет,"И так понятно, что ко всей информации из интернета надо относится с некоторым недоверием.",242734
51,answer-4wtf2lvijgmen,Тип №2,"кратко изложенный текст хорошо отображает суть и посыл данного комментария, не занимает много места на экране и удерживает внимание пользователя ",3,Да,26,Женщина,Да,информация может нести негативный характер и противозаконные действия,159577
52,answer-gbej2lvijgp6v,Тип №3,Доходчиво и понятно без лишних слов,4,Да,49,Мужчина,Да,Потому что так правильно для всех.,210961
53,answer-gbej2lvijgret,Тип №2,"Он интереснее и функциональнее по дизайну. Содержит мало информации, но зато она по существу, а также на скриншоте выделен предупреждающий знак и среднего размера шрифт. В других вариантах шрифт более мелкий и много объемного и лишнего текста. Кроме того, все очень грамотно расположен и дополняет друг друга: текст, символы и т.д.",4,Нет,46,Женщина,Да,Так будет понятнее и безопаснее...,357690
54,answer-4wtf2lvijgutb,Тип №1,В этом варианте сообщение о недостоверной информации выглядит наиболее локонично,4,Да,24,Женщина,Да,Потому что это помогает отслеживать достоверность контента в интернете,145317
55,answer-gbej2lvijgvsw,Тип №3,"Тип №3. Есть пост (без ката) в котором, может быть сомнительная информация, предупреждение и подробное пояснение. Все хорошо видно, с информацией удобно работать и формировать собственное суждение.",4,Да,48,Женщина,Да,"Да. В интернете очень много информации из огромного числа областей, часто противоречащей научным знаниям, фактам и даже здравому смыслу. Полезно иметь пояснение, корректирующее сомнительную информацию.",512936
56,answer-4wtf2lvijgzwn,Тип №1,Есть пояснение,3,Нет,26,Мужчина,Да,Уменьшить распространение ложной информации,71868
57,answer-gbej2lvijh6hy,Тип №1,"сразу видно было, те мболее подробно описано всё",2,Нет,36,Мужчина,Да,"полезно будет знать что там может написала всякая ложь, а то в интернете много информации и потсов, фиг поймёшь какой из несёт правду, какую ложь. интересно было-бы знать по каким критериям и добавляли бы правдивую информацию",226266
58,answer-gbej2lvijhd8u,Тип №2,можно узнать содержание поста,4,Нет,36,Женщина,Нет,"я сама могу для себя решить, достоверна информация или нет",112978
59,answer-gbej2lvijhehz,Тип №2,понравился,3,Да,31,Женщина,Да,потому что,100179
60,answer-4wtf2lvijhiif,Тип №1,"Когда вынесено влево, более заметно",4,Нет,44,Женщина,Да,Хочется быть предупрежденной,144265
61,answer-4wtf2lvijho02,Тип №2,все четко обозначено. и сам пост и предупреждение. и без лишних подробностей которые все равно никто не будет читать,4,Нет,50,Женщина,Да,?,409649
62,answer-gbej2lvijhsuv,Тип №4,"Данный вариант достаточно и не слишком длинно описывает всю суть предупреждения, так же удобно, что имеются несколько вкладок, из названия которых можно сразу понять, что в них находится, остальные варианты либо слишком короткие либо очень длинные и текст становится мешаниной и его становится неинтересно читать.",4,Нет,24,Мужчина,Да,"Я считаю, что информация должна быть достоверной всегда, и такие посты следовало бы сразу же удалять дабы не вводить в никого в заблуждение, но приходиться довольствоваться данной альтернативой.",-131698467
63,answer-4wtf2lvijhucr,Тип №4,просто понравился больше других,2,Нет,28,Предпочитаю не говорить,Да,"да, потому что в соц сетях встречается много недостоверной информации",228852
64,answer-gbej2lvijhuls,Тип №3,"Четко выделенное шрифтом и знаками предупреждением и грамотно структурированное пояснение,выгодно отличает от других вариантов",4,Нет,34,Мужчина,Да,"Недостоверная информация влияет на суждения,может привести к печальным последствиям ",264203
65,answer-4wtf2lvijhwjq,Тип №3,приведены аргументы на сообщение и пояснения по данному вопросу что заставляет задуматься и сомневаться,4,Нет,49,Женщина,Other,отмечать надо потенциально опасные-когда люди могут нанести вред себе или окружающим,331347
66,answer-gbej2lviji218,Тип №3,Сам пост + Разъяснение,3,Да,38,Мужчина,Да,Что бы быть на чеку,329355
67,answer-gbej2lviji2u8,Тип №4,"Есть само предупреждение, пояснение, а также обратная связь",4,Да,31,Мужчина,Да,"Введение в заблуждение, а также ложная и лженаучная информация может принести вред, как отдельному человеку, так и обществу",115173
68,answer-gbej2lviji3bp,Тип №3,Более информационное,4,Нет,34,Мужчина,Да,"Чтобы была провереная информация
",162077
69,answer-gbej2lviji5vt,Тип №3,"показалось наиболее понятным, визуально удобным и приятным",4,Нет,21,Женщина,Да,потому что это помогает людям понять вероятность обмана,681254
70,answer-4wtf2lviji8ge,Тип №4,"Разъяснения про тестирование вакцин полезны, но логично скрыть их в дополнительной табе. ",4,Да,41,Мужчина,Да,"Да, потому что много людей верят наслово первому, что встретят в сети",221451
71,answer-gbej2lvijioov,Тип №1,"Кратко изложена суть предупреждения и все по делу. Дается выбор человеку читать или нет, верить или нет, без излишнего давления.",5,Да,34,Женщина,Да,"Да, поскольку в соц.сетях встречается много ложной, необъективной информации, а есть люди, которые все принимают за ""чистую монету"".",939250
72,answer-gbej2lvijj8o5,Тип №2,Коротко и понятно. Что это вранье.,5,Нет,43,Мужчина,Да,"Да потому, что слишком много проплаченных людей занимается не обоснованным враньем. Особенно последнее время.",300413
73,answer-4wtf2lvijjtgj,Тип №2,"текст набран большими буквами, но я бы в любом случае сразу нажала закрыть. Я сама решаю доверять или нет прочитанному.",4,Да,42,Женщина,Нет,"Я сама способна логически думать и решать верить или нет. Подобные вещи будут сильно раздражать.
Уверены,что фейк-блокируйте! И не надо никаких предупреждений.",249714
74,answer-4wtf2lvijjvrj,Тип №3,Есть отзыва и есть аргумент все чутко крупно и понятно,2,Нет,31,Мужчина,Да,Информация нужна что бы как минимум насторожить,171606
75,answer-4wtf2lvijk0ry,Тип №3,"В этом варианте достаточно подробно описана причина появление метки, что важно.",4,Нет,26,Мужчина,Да,"Важно предупреждать людей о , возможно, недостовеоной информации, чтобы не навредить им",507196
76,answer-4wtf2lvijkrbf,Тип №3,Аргументировано и вполне доступно объяснено по какой именно причине не стоит доверять автору.,4,Нет,46,Мужчина,Да,Это облегчит отфильтровывать мусорный шум из инета.,195066
77,answer-gbej2lvijl6zc,Тип №1,"удобнее если предупреждение вначале, перед текстом, можно не читать дальше так как эта информация недостоверная",4,Да,47,Женщина,Да,"я недостоверную информацию читать не буду, это экономит мое время",182359
78,answer-gbej2lvijl7ke,Тип №3,"виден текст поста, есть пометка о недостоверности и есть разъяснения - удобно сразу на одной странице все прочитать",4,Нет,31,Женщина,Да,"много не верной информации появляется везде в соцю сетях, что может привести к неосозности и к лишним конфликтам. удобно, если есть комментарии на оф.источник с информацией",300235
79,answer-4wtf2lvijla6l,Тип №3,"максимально подробно и ясно объясняет почему данный пост опасен и опровергает информацию написанную в нем, и рассказывает правдивую информацию",3,Нет,40,Женщина,Да,слишком много ложной и лишней информации в интернете и её необходимо контролировать и выявлять.,187436
80,answer-gbej2lvijlijp,Тип №2,привлекательнее,2,Нет,45,Мужчина,Да,не знаю,94698
81,answer-4wtf2lvijltks,Тип №3,"отображается само сообщение, которое было опубликовано. А также есть пояснение, почему было выдано предупреждение. Для остальных пользователей будет полезно знать, какие именно заявления других пользователей не являются достоверными",3,Нет,33,Мужчина,Да,"другим пользователям необходимо знать, что не все заявления в интернете являются достоверными",1146692
82,answer-gbej2lvijm4al,Тип №4,"Самый функциональный вариант, подробно объясняющий предупреждение. На мой взгляд, первую вкладку, где рассказывается про алгоритмы можно убрать, или хотя бы поставить на второе место, а по умолчанию должно быть открыто пояснение, которое сразу вводит в курс дела",4,Да,31,Мужчина,Да,Потому что надо повышать общую грамотность населения по социально важным вопросам :),175338
83,answer-4wtf2lvijma0b,Тип №3,Есть подробное объяснение причины,3,Нет,23,Мужчина,Да,Нужно чтобы люди были осторожны,72541
84,answer-4wtf2lvijmerr,Тип №1,"Давно сижу в Интернете, и как правило, мне достаточно мозгов, что бы решить насколько достоверна информация. Если есть сомнения, перепроверяю. Этот вариант мне подходит идеально, четко и понятно.",4,Да,49,Мужчина,Да,"Интернет это опасное ""место"", где много фейков и лжи",302502
85,answer-gbej2lvijmjam,Тип №1,"ВЫБРАЛА ДАННЫЙ ВАРИАНТ,ТАК КОММЕНТАРИЙ СОДЕРЖИТ МНЕНИЕ ОПРЕДЕЛЕННОГО ЧЕЛОВЕКА,  И ЭТО НЕ ПОДТВЕРЖДЕННАЯ ИНФОРМАЦИЯ ПО ПОВОДУ ВАКЦИНАЦИИ",4,Да,26,Женщина,Да,ЧТОБЫ ДАННЫЕ КОМЕНТАРИИ НЕ ВНОСИЛИ ДЕЗИНФОРМАЦИЮ,333779
86,answer-4wtf2lvijmkf7,Тип №3,"Объяснение расположено под постом, что значительно облегчает понимание недостоверности",4,Нет,37,Мужчина,Да,"Да, потому что так легче распознать недостоверную информацию",214000
87,answer-4wtf2lvijmm7p,Тип №2,"Полностью блокировать информацию нельзя, так как каждый сам в праве решать, какую информацию потреблять и чему верить, поэтому один из вариантов отметаем сразу. В остальных вариантах слишком много пояснительной информации, поэтому выбираем самый простой без лишней ""воды"".",4,Нет,33,Мужчина,Нет,"Каждый сам для себя решает, очередные инструменты, которые ""думают"" за пользователя, не нужны. Плюсом ко всему подобная практика, я уверен, будет использоваться в корыстных целях для того, чтобы ""душить"" неугодных авторов, как сейчас, например, происходит с маркировкой иноагентов.",242229
88,answer-4wtf2lvijmucc,Тип №3,"Мне не нравятся, когда скрывают комментарии под какими-то плашками, я сама хочу выбирать, что мне читать, а что нет. Подобные запреты порождают больше любопытства к самому тексту комментария, чем к пояснениям, почему пост может содержать недостоверную информацию. 
Когда у тебя перед глазами текст комментария и текст опровержения, легче убедиться и понять для себя, что это предупреждение стоит там не просто так, что повышает твоё доверие к такому типу модерации контента. ",4,Да,32,Женщина,Да,"Модерация в  социальных сетях необходима, поскольку там содержится слишком много потенциально недостоверной и опасной информации доступ к которой могут получить дети, люди пожилого возраста, просто доверчивые граждане. ",475777
89,answer-4wtf2lvijng3i,Тип №4,"я думаю что нужно прежде всего указывать о каком виде нарушения сообщается в посте, поэтому выбрал тот вариант в котором это есть. неплохо было бы ещё прикрепить статью-опровержение, или сделать кнопку ""подробнее"". думаю так легче всего и нагляднее можно опровергать всякую чушь",4,Нет,35,Мужчина,Да,нельзя оставлять ложные сообщения и данные без реакции,321190
90,answer-gbej2lvijngsc,Тип №3,"С одной стороны, виден сам текст сообщения, с другой, предупреждение заметно, и, в отличие от последнего варианта, не перегружен подробностями.",4,Нет,40,Женщина,Да,"Людям с критическим мышлением это сэкономит время на проверку фактов, а легковерных убережёт от заблуждений.",514805
91,answer-gbej2lvijnzsh,Тип №3,"Само сообщение не скрыто, можно ознакомится, что в нём такого. Ниже, информационная справка - ответ на его сообщение, аналогично как и в случае его сообщения, очень полезно.",4,Нет,38,Мужчина,Да,"Лучше видеть, чем нет. Иногда не хочется думать и анализировать, проще прочитать справку - ответ на такие и подобные сообщения.",304597
92,answer-4wtf2lvijohgq,Тип №2,"Масштаб , дизайн , все просто и понятно , ничего лишнего нет.",2,Да,34,Мужчина,Да,"Фейковая , информация которая не достоверная несет угрозу и вселяет панику обывателям",156009
93,answer-4wtf2lvijooh5,Тип №1,"Меньше информации - привлекает внимание больше, чем много слов. ",4,Да,46,Женщина,Да,развивает критическое мышление,125899
94,answer-4wtf2lvijop3w,Тип №2,"ОЧЕНЬ УДОБНО,ЧТО НАДПИСЬ СРАЗУ ПОСЛЕ ТЕКСТА",4,Нет,32,Мужчина,Да,Чтоб люди не полагались всецело на такую информацию,103416
95,answer-gbej2lvijosnk,Тип №3,можно посмотреть сам пост и даны пояснения по поводу недостоверной информации,4,Да,26,Женщина,Да,нужно бороться с дезинформацией,268333
96,answer-gbej2lvijp1uk,Тип №3,самый развёрнутый и внушительный текст,5,Да,33,Мужчина,Да,"Пользователи интернетавправе получать информацию о лицах, размещающих заведомо недостоверные посты. Это чать безопасности в интернете.",166578
97,answer-gbej2lvijp320,Тип №1,Не так много текста и все понятно,2,Нет,19,Мужчина,Нет,Раздражает,106446
98,answer-gbej2lvijp71x,Тип №3,Все подробно описано,3,Нет,20,Мужчина,Да,Чтобы знать об опасности,115868
99,answer-4wtf2lvijpagc,Тип №3,Пояснение подробное. Не нужно искать в интернете,4,Да,39,Женщина,Да,Чтоб не быть обманутым,286075
100,answer-4wtf2lvijpef9,Тип №4,"В этом варианте ответа есть возможность более подробно ознакомиться с дополнительной информацией, что всегда важно.",4,Нет,27,Мужчина,Да,"Важно не вводить людей в заблуждение недостоверной информацией, также это защитит от обмана и мошенничества",352197
101,answer-gbej2lvijpqo9,Тип №4,"Более подробный вариант, где есть пояснения, а также обратная связь, что делает предупреждение более понятным и информативным.",4,Нет,35,Женщина,Да,"Да, потому что это позволяет подготовиться к информации, чтобы в случае чего не впадать в заблуждение.",184533
102,answer-4wtf2lvijpzv5,Тип №4,"Предупреждение сразу бросается в глаза.Даже не прочитав его текст можно понять ,что стоит внимательнее относится к информации ниже",4,Нет,36,Женщина,Да,Для безопасности,208271
103,answer-gbej2lvijq5nl,Тип №3,Текст поста с дополнительными пояснениями,4,Нет,41,Мужчина,Нет,Критерий недостоверности может быть субъективным,113896
104,answer-4wtf2lvijqdfl,Тип №3,"1. есть ложная информация с которой можно ознакомится
2. есть предупреждающий элемент
3. под этим элементом есть информация подтверждающая ложность информации",4,Нет,34,Мужчина,Other,"да, если эту информацию действительно можно опровергнуть опираясь на факты",264293
105,answer-gbej2lvijqtbf,Тип №2,коротко и ясно,4,Нет,48,Женщина,Да,"чтобы знать, что информация недостоверна",-3494723
106,answer-gbej2lvijr07u,Тип №2,понятно компактно,4,Да,35,Мужчина,Да,"чтобы знать о возможных проблемах
",-3449494
107,answer-4wtf2lvijr1p0,Тип №2,коротко и ясно,3,Нет,47,Мужчина,Да,для полной информации,89744
108,answer-gbej2lvijsdwl,Тип №3,есть дополнительные пояснения,3,Нет,36,Женщина,Нет,я так думаю,62122
109,answer-gbej2lvijsexn,Тип №4,Более понятное объяснение,5,Нет,27,Женщина,Да,Это необходимо для своей безопасности,110980
110,answer-4wtf2lvijstji,Тип №2,Предупреждение не мешает ознакомиться с самим постом,4,Да,43,Мужчина,Нет,"Понятие ""недостоверность"" может использоваться в неправильных целях",222993
111,answer-gbej2lvijstph,Тип №3,"Достаточно крупный шрифт. Мнение пользователя, дополнено профессиональной информацией.",4,Нет,46,Мужчина,Да,"Для достоверности. Пусть сам пользователь,  делает выводы на основе разных точек зрения.",284681
112,answer-4wtf2lvijstsn,Тип №1,более подходит т к скрывает написанное,4,Да,25,Женщина,Да,чтобы это не увидели те кто нехотел видеть,94198
113,answer-4wtf2lvijtl84,Тип №2,"Лаконично, без лишнего текста",4,Нет,33,Женщина,Да,"Это важно, сразу внимание заостряется ",120085
114,answer-gbej2lvijtppa,Тип №1,"выбрал четвертый вариант, шел в своих рассуждениях от противного:
Сразу отмел вариант 2, потому что увидел в нем отсутствие пояснений, просто запрет на просмотр контента.
Дальше отмел третий вариант. На самом деле лично меня бы он устроил, возможно, но в современном мире с огромной скоростью перерабатывания людьми информации, у них остается все меньше времени на то, чтобы погружаться в тонкости и детали. Когда человек видит три разные вкладки после запрет на контент, может банально подумать, что слишком долго все это читать.
Ну и в конце убрал вариант 1, там в описании идет пояснение блокировки, которое многие современные, начитавшиеся всякого люди могут воспринять как то, что им навязывают надуманные причины о запрете. Не уверен, что таких людей может убедить и вариант 4, но он как по мне напрочь был лишен эмоциональной составляющей и максимально сухо, но доступно давал информацию о запрете и предупреждение о возможных рисках и ответственности за взятие их на себя ",4,Да,34,Мужчина,Да,"В текущих реалиях стало столько информационной ""шелухи"", что иногда она начинает подменять факты. Поэтому полезно знать, что впереди тебя ждет не подкрепленная фактами и возможно не самая полезная и правдивая информация. Может быть взглянув на подобное предупреждение ты осознаешь, что не так уж оно тебе и надо. Ну или во всяком случае уже заранее будешь относиться к ней с изрядной долей здорового скептицизма.",791571
115,answer-gbej2lviju8ka,Тип №1,"Как я понял картинка справа, это первичное предупреждение, после нажатия ""подробнее"", открывается пояснение, почему этот пост может содержать недостоверную информацию, и т.д.. Так вот, такое предупреждение изначально не загружено текстом, и в то же время, при  желании, можно изучить, почему сей пост получил такую оценку",4,Нет,27,Мужчина,Да,"Потому как такие предупреждения заставляют задуматься, и перепроверить информацию",409325
116,answer-gbej2lvijuuri,Тип №1,Более подробная информация объясняющая суть предупреждающей пометки,4,Нет,30,Мужчина,Да,Чтобы обратить внимание пользователей на информацию которую лучше перепроверить,-4955
